,execution_idx,application,case,version,exception_name,frame_level,search_budget,fitness_function_value,number_of_fitness_evaluations,fitness_function_evolution,p_object_pool,seed_clone,seed_mutations
7681,2,math,MATH-70b,70b,java.lang.NullPointerException,2,62328,0.0,100.0,"[0.0,100]",0.3,0.2,3
7682,2,math,MATH-70b,70b,java.lang.NullPointerException,3,62328,0.0,100.0,"[0.0,100]",0.3,0.2,3
7683,3,math,MATH-70b,70b,java.lang.NullPointerException,1,62328,0.0,100.0,"[0.0,100]",0.3,0.2,3
7685,3,math,MATH-70b,70b,java.lang.NullPointerException,2,62328,0.0,100.0,"[0.0,100]",0.3,0.2,3
7687,3,math,MATH-70b,70b,java.lang.NullPointerException,3,62328,0.0,100.0,"[0.0,100]",0.3,0.2,3
7689,4,math,MATH-70b,70b,java.lang.NullPointerException,2,62328,0.0,100.0,"[0.0,100]",0.3,0.2,3
7690,4,math,MATH-70b,70b,java.lang.NullPointerException,1,62328,0.0,100.0,"[0.0,100]",0.3,0.2,3
7691,4,math,MATH-70b,70b,java.lang.NullPointerException,3,62328,0.0,100.0,"[0.0,100]",0.3,0.2,3
7692,5,math,MATH-70b,70b,java.lang.NullPointerException,1,62328,0.0,100.0,"[0.0,100]",0.3,0.2,3
7693,5,math,MATH-70b,70b,java.lang.NullPointerException,2,62328,0.0,100.0,"[0.0,100]",0.3,0.2,3
7694,6,math,MATH-70b,70b,java.lang.NullPointerException,1,62328,0.0,100.0,"[0.0,100]",0.3,0.2,3
7695,5,math,MATH-70b,70b,java.lang.NullPointerException,3,62328,0.0,100.0,"[0.0,100]",0.3,0.2,3
7696,6,math,MATH-70b,70b,java.lang.NullPointerException,2,62328,0.0,100.0,"[0.0,100]",0.3,0.2,3
7697,6,math,MATH-70b,70b,java.lang.NullPointerException,3,62328,0.0,100.0,"[0.0,100]",0.3,0.2,3
7698,7,math,MATH-70b,70b,java.lang.NullPointerException,1,62328,0.0,100.0,"[0.0,100]",0.3,0.2,3
7699,7,math,MATH-70b,70b,java.lang.NullPointerException,2,62328,0.0,100.0,"[0.0,100]",0.3,0.2,3
7700,7,math,MATH-70b,70b,java.lang.NullPointerException,3,62328,0.0,100.0,"[0.0,100]",0.3,0.2,3
7701,8,math,MATH-70b,70b,java.lang.NullPointerException,1,62328,0.0,100.0,"[0.0,100]",0.3,0.2,3
7702,8,math,MATH-70b,70b,java.lang.NullPointerException,2,62328,0.0,100.0,"[0.0,100]",0.3,0.2,3
7704,8,math,MATH-70b,70b,java.lang.NullPointerException,3,62328,0.0,100.0,"[0.0,100]",0.3,0.2,3
7705,9,math,MATH-70b,70b,java.lang.NullPointerException,1,62328,0.0,100.0,"[0.0,100]",0.3,0.2,3
7706,9,math,MATH-70b,70b,java.lang.NullPointerException,2,62328,0.0,100.0,"[0.0,100]",0.3,0.2,3
7709,9,math,MATH-70b,70b,java.lang.NullPointerException,3,62328,0.0,100.0,"[0.0,100]",0.3,0.2,3
7710,10,math,MATH-70b,70b,java.lang.NullPointerException,1,62328,0.0,100.0,"[0.0,100]",0.3,0.2,3
7711,10,math,MATH-70b,70b,java.lang.NullPointerException,2,62328,0.0,100.0,"[0.0,100]",0.3,0.2,3
7712,10,math,MATH-70b,70b,java.lang.NullPointerException,3,62328,0.0,100.0,"[0.0,100]",0.3,0.2,3
7737,4,math,MATH-79b,79b,java.lang.NullPointerException,1,62328,0.0,5300.0,"[5.666666666666666,100][3.0,200][0.5,500][0.42857142857142855,2600][0.25,3600][0.0,5300]",0.3,0.2,3
7738,1,math,MATH-79b,79b,java.lang.NullPointerException,2,62328,0.25,5600.0,"[5.857142857142857,100][3.0,200][0.25,400]",0.3,0.2,3
7739,2,math,MATH-79b,79b,java.lang.NullPointerException,2,62328,0.25,5400.0,"[5.857142857142857,100][3.0,200][0.25,400]",0.3,0.2,3
7740,3,math,MATH-79b,79b,java.lang.NullPointerException,1,62328,0.25,4600.0,"[5.666666666666666,100][3.0,300][0.5,500][0.4,1000][0.25,1500]",0.3,0.2,3
7741,3,math,MATH-79b,79b,java.lang.NullPointerException,2,62328,0.25,4100.0,"[4.5,100][3.0,200][0.25,400]",0.3,0.2,3
7742,4,math,MATH-79b,79b,java.lang.NullPointerException,2,62328,0.25,3800.0,"[4.5,100][0.25,200]",0.3,0.2,3
7743,8,math,MATH-79b,79b,java.lang.NullPointerException,1,62328,0.0,3500.0,"[5.666666666666666,100][3.0,200][0.5,500][0.25,1200][0.0,3500]",0.3,0.2,3
